LOR,1,4,5,14,21
B,3380.00,10664.88,9411.33,18822.65,27528.19
C,3250.00,10241.10,9021.84,18043.68,26388.89
D,3899.99,12289.31,10826.18,21652.36,31666.62
E,4420.00,13852.50,11852.31,23704.60,34667.95
H,4940.00,15557.11,17354.69,34709.42,50762.45
G,4030.02,12658.57,11104.74,22209.48,32481.39
I,3250.00,10214.77,8968.28,17936.53,26232.15
K,4550.00,14269.39,12492.01,24984.01,36539.14
M,5850.00,18236.54,15481.71,30963.40,45283.91
N,7149.99,22277.03,18896.72,37793.43,55272.86
